# 四级短语表 · 共 2707 条 · 每 50 条一个单元
# 短语来源：2ndLA/english-phrases · CET-4 短语表（CC BY-SA 4.0）；释义来源：ECDICT（MIT License）
单词,音标,中文释义,英文释义
as a rule,,通常,
as a rule of thumb,,作为经验法则：一种基于经验和常识的一般性原则或指导方针。,
as a whole,,总体上,
as best one can,,尽最大努力,
as concerns,,关于,
as far as,,"远到, 直到, 至于",
as follows,,如下,
as for,,至于,
as for as,,关于；至于；就……而言,
as good as,,"和...几乎一样, 实际上等于...",
as if,,好像,
as it is,,"事实上, 实际上, 既然如此",
as it were,,"可以说是, 似乎就是",
as long as,,只要...,
as much,,同样多少,
as much as,,"尽...那样多, 差不多",
as often as not,,"往往, 多半",
as opposed to,,"完全不同, 截然相反, 反对, 对照",
as regards,,"关于, 至于",
as soon as,,一...就,
as soon as possible,,尽快,
as sure as fate,,"的的确确, 千真万确",
as though,,"好像, 仿佛",
as to,,"根据,按照,依照;关于,至于,就…而言",
as usual,,照常,
as well,,也,
as well as,,"也, 又",
as yet,,至今仍,
aside from,,除...以外,
ask after,,探问,
ask for,,"请求, 找(人)",
assist in,,帮助…;参加…,
assist sb. with sth.,,帮助某人做某事,
assist with,/əˈsɪst wɪð/,v. 帮助做（某事），协助（做某事）,
associate with,,"与…有联系,和…交往",
assure of,,向某人自信地告知某事是真实的，尤其是为了让他们不担心：指向某人保证某事是真实的，以消除他们的担忧或不安。,
assure sb. of sth.,,向某人自信地告知某事是真实的，尤其是为了让他们不担心：指以确保、保证的方式向某人传达某事的真实性，特别是为了让他们放心，消除担忧。,
at a glance,,"看一眼, 一下子",
at a good pace,,相当快地,
at a loss,,"困惑, 亏本地",
at a pinch,,在紧要关头,
at a speed of,,以…的速度,
at a time,,"每次, 在某时",
at all,,"根本, 完全",
at all costs,,不惜任何代价,
at all events,,无论如何,
at all risks,,无论如何,
at all times,,一直,
at any cost,,无论如何,
at any rate,,"无论如何, 至少",
at any time,,任何时候,
at best,,最多,
at ease,,"安逸, 自由自在; 自然; 心净",
at fault,,"感到困惑, 有故障",
at first,,起先,
at first blush,,"<正> 猛一看, 乍看",
at first glance,,"一看就, 初看, 乍看起来",
at first sight,,乍一看,
at full blast,,"处于高潮,热火朝天,正起劲,正在进行",
at full speed,,全速,
at great length,/æt ɡreɪt leŋθ/,详细地，充分地：用于描述某人讲话或写作时非常详细和冗长。,
at hand,,"在手边, 在附近, 即将到来",
at heart,,在内心里,
at home,,"在家, 在本地, 在国内, 熟悉",
at intervals,,"不时, 相隔一定距离",
at large,,"未被捕, 详尽, 普遍；[法] 未被捕的, 逍遥法外的, 详尽的",
at last,,终于,
at least,,至少；[法] 至少,
at leisure,,"空闲着, 从容地",
at length,,"最后, 详细地",
at liberty,,"自由, 有空",
at long last,,"终于, 最后",
at longest,,至多，最晚,
at lowest,,至少,
at most,,至多,
at night,,在晚上,
at no time,,决不,
at once,,立刻,
at one time,,"同时, 曾经",
at one's best,,处在最佳状态,
at one's disposal,,[法] 自由处置,
at one's heels,,紧随：指紧紧跟随在某人的后面，特别是指紧追不舍。,
at other times,,在另外的一些场合中,
at peace,,处于和平状态,
at present,,"现在, 目前",
at regular intervals,,每隔一定间隔；[经] 定期,
at risk,,"在危险中,在危急时",
at sb.s disposal,,暂无释义，可打开词卡用有道查询,
at sight of,,一看见,
at table,,在餐桌边,
at that,,"就那样, 就这样, 到此为止, (加强语气)而且, 但是, 然而, 要说起来",
at that rate,,那样的话,
at the beginning,,从头开始,
at the cost of,,以...为代价,
at the expense of,,"归...付费, 在损害...的情况下；[法] 归...付费",
at the latest,,最迟,
at the mercy of,,受...支配,
at the moment,,此刻,
at the risk of,,"冒...的危险, 有...的危险/可能",
at the same time,,"同时, 但是",
at this rate,,这样的话,
at times,,"有时, 不时",
at will,,"随意, 任意",
at work,,"在工作, 在运转",
attach importance to,,重视,
attach oneself to,,"依附, 参与",
attach to,,"（使）贴[系, 粘]在…上; （使）相关; （使）牵连; （使）依附",
attain to,,"达到,获得",
attend on,,照顾,
attend to,,处理; 注意; 听取; 致力于,
attend upon,,v. 服侍,
avail oneself of,,利用,
avail oneself to,,暂无释义，可打开词卡用有道查询,
back and forth,,来回地,
back away,,逐渐后退,
back down,,"放弃要求, 取消前言",
back of,,在…后面;在…以前;是…的起因,
back off,,后退,
back out,,"停止不干, 食言；[法] 收回, 不再担保, 不承认",
back up,,"支持, 倒退, 给...装上背衬",
bank on,,"指望, 依赖",
barge in,,"v. 闯入, 干涉",
based on,,[计] 基准样式,
be able to,,"能, 会",
be about to,,即将,
be absorbed in,,"全神贯注于, 专心于",
be abundant in,,"富于,有很多",
be accustomed to,,习惯于,
be acquainted with,/bi əˈkweɪntɪd wɪð/,了解或熟悉某事物：因为你曾经学习过它或有过相关经验。,
be addicted to,,沉迷于…,
be adequate for,,足够满足某种需求或要求：能够提供足够的数量、质量或能力以满足特定的需求或要求。,
be alike to,,与相像,
be all ears,,全神贯注地倾听,
be at the end,,最终,
be at war,,"(同...)处于交战状态, (同...)进行竞争",
be attached to,,"附属于, 喜爱",
be attentive to,/bi əˈtentɪv tu/,注意，留心：关注某事物并对其保持警觉和警惕。,
be available for,,可为...所利用,
be aware of,,知道,
be behind bars,,在押：指某人被关押在监狱或拘留所中。,
be bound to,,"肯定,必然,注定;保证做某事,有义务做某事",
be bound up in,,热心于,
be bound up with,,与...有密切关系,
be burned to a crisp,,烧脆：指被火烧得非常焦脆，完全烧毁。,
be busy with,/bi ˈbɪzi wɪð/,忙于：指某人正在进行或专注于某项活动或任务。,
be capable of,,能够,
be caught up in,,"被卷入, 牵涉, 涉及",
be certain of,,确信,
be certain to do sth.,,务必做某事：表示强烈的建议或命令，要求必须做某事。,
be composed of,,由...组成,
be concerned with,,"涉及..., 与...有关",
be connected with,,与...相连/联系,
be considerate of,,体谅,
be detached from,,"与…没有联系,脱离…",
be equal to,,"胜任, 相等, 合适",
be fed up,,"吃得过饱, 极厌倦",
be fed up with,/bi fed ʌp wɪð/,对……感到厌烦,
be fond of,,"喜爱, 爱好",
be friends with,,与...交友,
be full of,,充满,
be good at,,擅长,
be hard on sb.,,过分严厉对待某人,
be hard up,,短缺,
be ignorant of,,不知道,
be in awe of,,对……感到敬畏：对某人或某事物感到非常敬畏或惊叹。,
be in debt,/bi ɪn det/,负债：指个人或机构欠债的状态，通常是指欠债超过了自身的财务能力。,
be in drink,,喝醉,
be in fashion,/bi ɪn ˈfæʃn/,时尚流行：指某种风格、款式或潮流在当前时尚界或社会中受到广泛关注和接受。,
be in for,,"必定遭到, 参加",
be in love with,,与...恋爱,
be in sympathy with,/bi ɪn ˈsɪmpəθɪ wɪð/,与……同情或共鸣：表示对某人或某事的同情或共鸣。,
be in the habit of,,有...的习惯,
be inferior to,,"劣于..., 比...差",
be keen about,,喜爱,
be keen on,,喜爱,
be known as,,被认为是,
be known for,,因...而众所周知,
be known to,,为...所知,
be likely to,,"有可能…,很可能…",
be located in,,"坐落于..., 位于...",
be lost on,,对...不起作用,
be loyal to,,忠于...,
be mad about,,"对…着迷,狂热地迷恋…",
be made up of,,由...所组成,
be named after,,以...名字命名,
be on the advance,,在上涨中,
be on the drink,,酗酒,
be out for,,力图要,
be out of employment,,失业,
be out of style,,"不合时式, 不时髦",
be qualified to,,有资格做某事：具备必要的条件或能力来完成某项任务或达到某个标准。,
be ready,/bi ˈredi/,准备好，就绪；完成，备妥（饭菜、产品、文件等已完成可交付）；愿意，乐于（做某事）,
be related with,,与……有关：表示两个或多个事物之间存在联系或关联。,
be remarkable for,,因…而引人注意,
be representative of,,"代表..., 表现..., 是...的典型",
be responsible for,,"引起..., 是...的原因, 对...起作用, 构成...的一部分；[法] 对...负责",
be rid of,,摆脱,
be satisfied with,,对...感到满意,
be seated,,"坐下, 坐落于",
be short of,,"缺乏..., ...不足",
be skilled in,,擅长...,
be subject to,,"受支配, 从属于, 可以...的, 常遭受...",
be supposed to,,"应该, 被期望",
be sure and,,一定要,
be sure of oneself,,有自信心,
be taken as,/bi ˈteɪkən æz/,被视为，被理解为，被认为是：指某人或某事物被认为具有某种身份、特征或属性。,
be thick with,,"与…关系密切;充满…,密布着…",
be to blame,,该受责备,
be traced to,/bi treɪst tu/,可以追溯到：指某个事物或现象的起源或根源可以被追溯到某个时间、地点或原因。,
be typical of,,是...的特点,
be up against,,面临,
be used to,,习惯于,
be useful to,/bi ˈjuːsfl tu/,对……有用：表示某物对某人或某事物有益处或帮助。,
be very useful at,/bi ˈveri ˈjuːsfl æt/,非常有用于：指在某个领域或特定情境中非常有用。,
bear away,,"夺得, 改变航道；[法] 夺走, 抢去",
bear down on,,"加压力于, 冲向, 袭击",
bear in mind,,记住,
bear on,,"使难以承受负荷, 有关, 瞄准；[法] 施力压力, 有关系, 有影响",
bear out,,"证实；[法] 证明, 证实, 辩护",
bear sth. in mind,,记住某事：指将某事牢记在心，保持在脑海中。,
bear up,,"承受, 使振作, 始终忠于, 驶向下风",
bear upon,,"使难以承受负荷, 有关, 瞄准",
bear with,,[法] 忍耐,
beat down,,"打倒, 镇压, 杀价",
beat off,,打退,
beat one's brains out,,竭尽全力：形容一个人尽自己最大的努力去完成某事。,
beat up,,"痛打, 惊扰, 招募, 搅拌；[法] 殴打, 虐待, 杀",
beat up and down,,来回奔走,
become of,,"发生, 结果是",
before long,,不久以后,
beg off,,请求免除,
begin with,,"以…开始,首先",
behind bars,,"[法] 在狱中, 在押",
behind schedule,,落后于预定计划,
behind the scenes,,"在后台, 在幕后；[法] 秘密地, 暗中, 幕后",
behind the times,,过时,
believe in,,"信仰, 信任",
belong to,,属于,
bend one's knee to,,屈服于,
beside the point,,"离题, 不中肯",
beside the question,,离题,
best of all,,最,
better off,,比较富裕; 情况好转,
beyond a doubt,,无可置疑；毫无疑问,
beyond all question,,"毫无疑问, 确定无疑, 无可争辩",
beyond belief,,难以置信,
beyond compare,,无以伦比,
beyond control,,无法控制；[法] 无法控制,
beyond doubt,,[法] 无容置疑,
beyond measure,,"无可估量, 极度",
beyond number,,多得数不清；[经] 无法计算的,
beyond question,,无可争辩,
bit by bit,,一点一点,
black and blue,,"青肿的, 淤血的",
black out,,"使停刊, 熄灭灯火",
blame for,,v. 因（某事）责怪，责备（某人或某事）；把（坏事）归咎于（某人或某事）；（be to blame for sth）对（坏事或问题）负有责任，应受责备；n. （the blame for sth）对（坏事、过失或失败）应负的责任（常与 take、accept、lay、put 等搭配）,
block in,,草拟,
block off,,"关闭, 封闭, 封锁",
block up,,"阻碍, 垫高；[机] 停用, 关闭",
blot out,,抹去,
blow off,,"吹掉, 放出",
blow one's top,,发脾气,
blow out,,"吹熄, 爆裂；[经] 井喷, 井喷险",
blow over,,被淡忘,
blow up,,"使充气, 爆炸, 放大；[化] 爆发",
boast of,,吹嘘;引以自豪地拥有,
boil down to,,归结为,
boil over,,"沸溢, 发怒；[机] 沸溢",
book in,,"登记住入,签到",
border on,,接壤,
born of,,由……产生，源于……：指某事物的起源或来源于某个特定的情况或事件；（人）出生于……的家庭，为……所生，指人的出身、家世或血统。,
bounce back,,受挫折后恢复原状; 回声; 卷土重来,
box in,,"如盒子一般地围起来, 不让…通过",
branch out,,"长出枝条, 扩展范围",
break away,,"突然离开, 脱离, 放弃",
break down,,"毁掉, 制服, 压倒, 倒塌, 垮掉, 分解；[化] 发生故障",
break even,,"并列起跑, 得失相当；[经] 不赚不赔, 收支相抵",
break faith,,"背弃信仰, 失信；[经] 失信用",
break in,,"训练, 使经使用逐渐合用, 闯入, 打断",
break into,,"破门而入, 侵占；[法] 破门而入",
break into pieces,,成为碎片,
break off,,"折断, 突然停止, 脱落, 断绝, 暂停",
break one's heart,,使(某人)很伤心,
break out,,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备；[机] 铸漏",
break the ice,,打破沉默,
break through,,"突围, 突破；[计] 断缺",
break up,,"打碎, 破碎, 分裂, 分解, 驱散, 结束, 衰退, 衰落, 变坏",
breeze through,,轻松地做,
brim over with,,满溢,
bring about,,"带来, 使掉头",
bring around,,使信服,
bring back,,"拿回来, 使回忆起来, 使恢复",
bring down,,"打倒, 击落, 击败, 降低；[经] 结转, 转下",
bring forth,,使产生,
bring forward,,"提出, 提前；[经] 结转",
bring home to,,让某人比以前更清楚地理解某件事情，尤其是一些不愉快的事情,
bring in,,"提出, 挣得, 引进",
bring into action,,使开始行动；[化] 使动作,
bring into effect,,"实现, 实施",
bring into operation,,[化] 投入运转,
bring into play,,"使运转, 启用",
bring off,,"救出, 完成",
bring on,,"引起, 导致, 使发展",
bring oneself to,/brɪŋ wʌnˈself tu/,鼓起勇气做某事：强迫自己做某事（通常是不愉快的事情）。,
bring out,,"使显示, 出版, 说出；[经] 包销人公开出售新证券",
bring round,,把（某人或某物）带到约好的地点; 劝说（某人）改变主意[意见]; 说服（某人）; 使恢复知觉,
bring the house down,,博得满堂喝彩,
bring through,,救活,
bring to,,"使恢复知觉, (使)停驶",
bring to justice,/brɪŋ tu ˈdʒʌstɪs/,使归案：将犯罪嫌疑人或罪犯带到法庭受审判。,
bring to life,,使苏醒,
bring to light,/brɪŋ tu laɪt/,揭示，揭露：将某事物公之于众，使其为人所知。；发现，找到：找到或发现某事物，使其变得可见或为人所知。,
bring to ruin,,使毁灭：导致某人或某事的破产、失败或毁灭。,
bring together,,使相合[连接]; 使相识; 使坐在一起; 使会面,
bring up,,"教育, 培养, 提出, 停下, 呕出",
bring up the rear,,殿后,
bristle with,,充满,
brush aside,,"扫除, 漠视",
brush off,,"刷去, 脱落, 除掉",
brush up,,"刷干净, 复习, 提高；[机] 刷新, 擦光",
buck up,,使振作,
budget for,,为…作预算,
build in,,"嵌入, 插入",
build into,,使成为…的一部分,
build up,,"树立, 增进, 增大, 堵塞；[化] 提升力",
bump into,,偶然遇见,
bundle up,,"把...捆扎, 使穿暖",
burn down,,"烧成平地, 火力减弱；[机] 烧去, 火力衰退",
burn oneself out,,烧尽,
burn out,,"烧坏, 烧掉, 烧尽；[机] 烧光",
burn up,,"烧起来, 烧掉, 发怒",
burst into,,"闯入, 开出, 突然出现",
burst into laughter,,哈哈大笑起来,
burst out,,"闯出来, 大声喊, 突发",
burst out laughing,,"放声大笑,突然笑起来",
but for,,要不是,
button up,,[电] 按上,
buy into,,出钱入(某组织或企业),
buy off,,收买；[经] 买通,
buy out,,"出钱使放弃地位；[经] 买下, 买妥, 买下...的全部产权",
buy up,,"全买；[经] 囤积, 收买(公司等), 全买",
buzz off,,"走开, 匆忙离去",
by accident,,偶然,
by air,,乘飞机,
by all means,,"尽一切办法, 一定",
by all nerves,,高度不安；神经紧张,
by and by,,不久以后,
by and large,,"大体上, 基本上",
by any means,,无论如何,
by chance,,"偶然, 也许",
by comparison,,比较起来,
by contrast,,"对比起来, 与之相比, 相反地",
by courtesy of,,蒙...好意,
by degrees,,"逐渐地；[机] 渐渐, 逐渐",
by error,,错误地；[法] 错误地,
by far,,显然,
by force,,"强迫地；[法] 凭藉暴力, 强制地",
by hand,,用手,
by heart,,"凭记忆, 记住",
by instinct,,出于本能；[法] 出于本能,
by itself,,"单独地,孤零地;独立地",
by leaps and bounds,,非常迅速地,
by little and little,,"一点一点地, 逐渐地",
by means of,,依靠,
by mistake,,由于差错,
by name,,"名叫..., 用名字, 凭名字",
by nature,,天生地,
by night,,在夜里,
by no means,,决不,
by oneself,,"单独, 独自",
by pressed for,,缺少，缺乏,
by reason of,,"由于, 因为",
by reason that,,因为,
by request,,"经请求,一经索求",
by the book,,按常规,
by the name of,,名叫...,
by the same token,,出于同样原因,
by the way,,"在途中, 顺便",
by trial and error,,"反复试验, 不断摸索",
by turns,,"轮流, 交替",
by virtue of,,"依靠, 由于；[法] 凭藉, 依靠, 由于...",
by way of,,"经由, 作为, 为了；[经] 当作, 为了, 通过",
call after,,"追在...的后面叫喊, 以(某人)的名字为...命名",
call back,,"叫回来, 收回, 打回电",
call for,,"叫(某人)来, 要求, 为...叫喊, 为...叫",
call forth,,"引起, 使产生, 使起作用",
call in,,"召集, 召来, 来访；[电] 叫入",
call in question,,[经] 提出异议,
call into question,,对…表示怀疑; 认为有问题,
call it a day,,"收工, 当天的工作干完了.",
call it a night,/kɔːl ɪt ə naɪt/,结束一天的工作或活动：在当前时间回家或上床睡觉。,
call off,,"叫走, 放弃, 使转移走, 依次叫名",
call on,,"号召, 呼吁, 约请, 访问",
call out,,"召唤...行动, 唤起, 大声叫唤",
call the roll,,点名,
call up,,"召集, 使想起, 提出, 打电话给",
call upon,,"号召, 拜访; 省视",
calm down,,"平静下来, 镇定下来",
came apart,,v. （物体）碎裂，破裂，散架：分成几部分或碎片；（团体、组织、体系、关系、婚姻等）崩溃，瓦解，破裂；（事情、计划等）失败或陷入糟糕状态；（原本一致或关联的抽象事物）分开，脱节，不再一致；（常作 come apart at the seams）破烂不堪，或濒临崩溃。,
campaign for,,竞选…,
can not help,,不得不,
cannot but,,"不得不, 不能不",
cannot help,,不得不,
cannot help but,,不得不,
capable of,,有…能力（或技能）的，能…的,
care for,,"喜欢, 照顾, 为...操心, 尊重",
carry back,,"运回, 拿回, 使回忆起",
carry forward,,"推进, 结转；[经] 结转, 过次页",
carry into effect,,"实行, 实现；[法] 实行, 实施, 实现",
carry off,,"夺去...的生命, 获得, 成功对付；[建] 带走, 夺去",
carry on,,"继续开展, 行为愚蠢(或越轨)；[经] 继续发展(经营)下去",
carry out,,"进行, 实现, 贯彻, 执行；[经] 进行(到底), 执行, 落实",
carry over,,"继续, 结转次页, 把...留到以后处理；[化] 带出; 带出粉尘",
carry through,,"实现, 使度过困难, 坚持下去；[经] 进行(到底), 贯彻",
carry weight,,"重要, 有影响",
carve out,,开辟,
carve up,,"瓜分, 划分",
cash down,,"即其付款；[经] 即期付款, 即付",
cash in,,"兑现, 结清帐目；[经] 兑现, 赚到钱, 结算",
cash in on,,"靠...赚钱, 乘机利用；[经] 靠...赚钱, 乘机利用",
cast about,,"搜索, 想方设法",
cast about for,,寻找,
cast around,,寻找,
cast around for,,四处寻找：指在各个地方寻找某物或某人。,
cast aside,,"消除, 废除",
cast back,,"回想, 追溯",
cast light on,,阐明，解释，使清楚明白,
cast light upon,,阐明，解释：揭示或解释某事物，使其更加清晰明了。,
cast lots,,抽签,
cast off,,丢弃,
cast oneself on,,"委身于, 指望",
cast out,,驱逐,
catch at,,"试图抓住, 死命抓住",
catch fire,,着火着火; 失火; 发火; 走水,
catch hold of,,抓住,
catch on,,"变得流行, 理解, 明白",
catch one's breath,,"喘息, 屏息",
catch one's eye,,un. 胡说；引起…的注意,
catch out,,<非正>揭露; 恰遇某人不在; 将…难住; 使怀孕,
catch sight of,,瞥见,
catch up,,"把...很快拾起, 把...缠住；[计] 抓取程序",
catch up with,,赶上,
cave in,,"塌落, 下陷, 投降, 屈服",
center around,,集中围绕,
center on,,"以…为中心; 重点在于…, 主要与…有关",
chance on,,偶然发现,
chance upon,,偶然发现[遇到]; 碰见,
change one's mind,,"改变主意；[法] 改变主意, 改变计划",
change over,,"（使）改变, （使）变换; 调换; 掉期",
charge sb. with sth.,,指控某人犯有某种罪行或违法行为：指控某人犯有某种罪行或违法行为。,
chase down,,找出,
cheat on,,对…不忠实; 作弊,
check in,,"登记, 报到；[法] 登记, 报到, 住宿",
check out,,"付帐后离开, 检查, 符合要求, 通过；[法] 离开旅馆, 检验, 盖章",
check up,,"核对, 检查；[经] 检查, 查对",
check up on,,查清,
cheer on,,v. 为（某人）加油、助威；用喊叫或欢呼来鼓励（某人）,
cheer up,,"使振奋, 感到振奋",
chew over,,"细想, 仔细考虑",
choke up,,"塞住, 噎住, 阻塞",
clap eyes on,,看见,
clean out,,"清除, 打扫干净；[机] 清除口",
clean up,,"打扫干净, 清理, 做完",
clear away,,"清除, 消失",
clear off,,"清除, 摆脱, 走开, 消散；[法] 清偿",
clear out,,"离开, 把...清出；[经] 办理海关出口手续",
clear up,,"整理, 消除, 放晴",
close a business,,歇业,
close about,,"围住, 包围",
close down,,"关闭, 歇业, 停止播音",
close in,,"包围, 封锁, (白昼)渐短",
close up,,"靠拢, 关闭, 愈合, 封死",
clutch at,,企图抓住,
collaborate with,,"合作, 协作",
come about,,"发生, 改变方向",
come across,,偶遇,
come after,,跟在...后面,
come along,,"出现, 进步；[电] 伸线器",
come apart,,"分开, 分裂",
come around,,"来, 前来, 过访, 顺便来访, 笼络, 诱骗",
come at,,"袭击, 达到, 得到",
come before,,"发生于...之前, 在...之上",
come between,,"在...中间, 离间",
come by,,"从旁边走过, 得到",
come down,,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对",
come down on,,"惩罚, 索取",
come down to,,"流传下来;压缩为,归结为,简化为",
come for,,"来接, 来取",
come forth,,"出来, 涌现, 被公布",
come home,,回家,
come in,,"进来, 到达, 流行起来, 当选, 到手；[建] 利润",
come in for,,"遭到, 受到",
come into,,"得到, 继承；[法] 继承",
come into being,,"形成, 产生",
come into effect,,开始生效；[法] 生效,
come into force,,"开始有效, 开始实施；[法] 生效",
come into one's own,,"得到自己该得的东西, 盛行起来；[法] 得到自己应得的东西, 继承",
come into operation,,[法] 开始实施,
come into play,,开始活动,
come into use,,开始被使用,
come of,,"出身于, 由...引起",
come off,,"发生, 举行, 表现, 结果",
come on,,"偶遇, 进步, 发生, 开始, 出场, 快来",
come out,,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布",
come out with,,"发表, 出版, 说出, 提出, 把...投入市场销售",
come round,,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息",
come through,,"经历...仍活着, 安然度过, 胜利, 表现",
come to,,"谈到, 被...继承, 苏醒, 停止",
come to a close,,结束,
come to an end,,结束,
come to blows,,开始互殴,
come to life,,苏醒,
come to no harm,,不受伤害：表示某人或某物没有遭受到任何损害或伤害。,
come to one's senses,,"苏醒过来, 醒悟",
come to terms,,"达成协议, 妥协, 让步；[法] 达成协议",
come to terms with,,"与…达成协议,慢慢习惯",
come to the point,,"变尖锐, 到紧要关头, 说到要点, 扼要地说",
come true,,"实现, 成为事实",
come under,,"归入, 遭受",
come up,,"走上前来, 发芽, 发生, 被提到, 流行；[建] 按照指标达到质量标准",
come up against,,突然碰到,
come up for,,到达某事应该发生的时间：指某事物在规定的时间或情况下出现或发生。,
come up to,,"达到, 等于",
come up with,,"赶上, 提出",
come what may,,不管如何,
commit a crime,,犯罪,
comply with,,照做,
confide in,,信任,
consist in,,存在于,
consist of,,由...组成,
consult with,,"协商, 商量",
contribute to,,捐献,
cook up,,"伪造, 虚构",
cool down,,"变凉, 平静下来；[建] 冷却",
cool off,,"变凉, 平静下来",
coordinate one's efforts to,,齐心协力：指多个人或组织共同努力，协调行动以达到共同的目标。,
cope with,,"与...竞争, 应付, 处理",
could not help,,无法控制/抑制：无法控制或抑制某种情感或行为。,
count down,,"倒读数, 用倒数方式计算；[经] 倒数, 递减计算",
count in,,把...计算在内,
count on,,"依靠, 指望",
count out,,"点数, 拳击中判输",
count up,,"把...加起来, 共计",
count upon,,依赖，指望：表示对某人或某事物的信任和依赖，相信他们会始终如一地支持和帮助自己。,
cover for,,代替,
cover up,,掩盖,
credit with,/ˈkredɪt wɪð/,v. 认为某人具有某种品质或能力，或把（成就、功绩）归功于某人；（会计）把（款项）记入贷方,
cross off,,划掉,
cross one's fingers,,祈求好运或说善意的谎言时将中指放在食指上方的手势：表示希望某事能够成功或者希望好运降临，也可以用于说谎时表示希望对方不要发现。,
cross out,,"[经] 注销, 删去",
cry down,,贬低,
cry for,,"吵着要, 恳求, 迫切需要",
cry off,,取消前言,
cry out,,大声呼喊,
cry out for,,迫切需要,
curl up,,卷起,
cut across,,抄近路通过,
cut back,,"修剪, 削减, 急转向, 倒叙",
