序号,单词,音标,词性,中文释义,英文例句,分类,小节
33,daily,/ˈdeɪli/,adj.,日常的,Commuting is a part of daily life for many people. 乘车上下班是许多人日常生活的一部分。 | China Daily 中国日报,Level 1,Day 1
34,clock,/klɑːk/,n.,时钟,Your only competitor is the clock. 你唯一的竞争 对手是时钟。,Level 1,Day 1
35,late,/leɪt/,adj.,迟到的,The train was 40 minutes late. 火车晚点了40 分钟。,Level 1,Day 1
36,come,/kʌm/,v.,来 [过去式came 过去分词come 现在分词coming],I'm afraid we can't come. 我很遗憾，我不能来了。,Level 1,Day 1
37,use,/juːz/,n./v.,使用,Might I use your phone？我可以用一下你的电 话吗？,Level 1,Day 1
38,way,/weɪ/,n.,方法；道路,There's a way across the fields. 有一条路穿过田地。,Level 1,Day 1
39,most,/moʊst/,adv.,最 det./pron. 大多数,Most people obey the law. 大多数人遵守法律。,Level 1,Day 1
40,right,/raɪt/,adj.,正确的；右方的,You made the right decision. 你的决定是正确的。 | Slaves did not have the right to vote. 奴隶没有投 票权。,Level 1,Day 1
1,begin,/bɪˈɡɪn/,v.,开始 [过去式began 过去分词begun 现在分词beginning],The problems began last November. 问题于去年 11 月开始出现。,Level 1,Day 2
2,start,/stɑːrt/,v.,开始；出发,I start work at nine. 我九点开始工作。,Level 1,Day 2
3,end,/end/,n./v.,结束,The cold war came to an end. 冷战终止。,Level 1,Day 2
4,great,/ɡreɪt/,adj.,伟大的,the Great Wall 长城,Level 1,Day 2
5,help,/help/,v./n.,帮助,This app helps you learn English. 这个软件能帮 你学英语。 线｜教研团队,Level 1,Day 2
6,world,/wɜːrld/,n.,世界 6<< 零基础词汇讲义Level 1,,Level 1,Day 2
7,buy,/baɪ/,v.,购买 [过去式 bought 过去分词bought 现在分词buying],He bought me a new coat. 他给我买了一件新外套。,Level 1,Day 2
8,hope,/hoʊp/,v./n.,希望,I hope you can find your way home. 希望你能找 到回家的路。,Level 1,Day 2
9,body,/ˈbɑːdi/,n.,身体,body language 肢体语言,Level 1,Day 2
10,few,/fjuː/,adj.,很少的；几乎没有的,Few people understand the difference. 几乎没有 人了解这个差别。,Level 1,Day 2
11,little,/ˈlɪtl/,adj.,小的 det./pron. 很少,I have little money and little free time. 我没什么 钱，也很少有空闲时间。,Level 1,Day 2
12,member,/ˈmembər/,n.,成员,friends and family members 朋友和家人,Level 1,Day 2
13,age,/eɪdʒ/,n.,年龄；时代,He finished high school at the age of 18. 他18 时高中毕业。,Level 1,Day 2
14,hard,/hɑːrd/,adj.,坚硬的；艰难的；努力的,The table feels hard. 这个桌子摸起来很硬。 | Work hard and play hard. 努力工作，努力玩耍。,Level 1,Day 2
15,story,/ˈstɔːri/,n.,故事,a bedtime story 睡前故事,Level 1,Day 2
16,stop,/stɑːp/,v.,停止,The car stopped at the traffic lights. 汽车在交通 信号灯前停了下来。,Level 1,Day 2
17,letter,/ˈletər/,n.,信；字母,There's no date on this letter. 这封信未注明日期。,Level 1,Day 2
18,class,/klæs/,n.,班级；阶级,We were in the same class at school. 我们在上学 时同过班。 | the working class 工人阶级 | She developed the company from nothing. 她白 手起家办起了这个公司。 /fuːd/ 20. food | food and drink 饮食,Level 1,Day 2
21,win,/wɪn/,n.,赢；胜利 [过去式 won 过去分词 won 现在分词 winning ],Everyone has a chance to win. 每个人都有机会赢。,Level 1,Day 2
22,wait,/weɪt/,v.,等候,wait a second 等一下,Level 1,Day 2
23,law,/lɔː/,n.,法律,He's in law school. 他在读法学院。,Level 1,Day 2
24,strong,,adj.,坚强的；强壮的,He's strong enough to lift a car. 他力气大得能抬 起一辆汽车！ | a strong wind 强风,Level 1,Day 2
25,different,/ˈdɪfrənt/,adj.,不同的,American English is different from British English. 美国英语与英国英语有差异。,Level 1,Day 2
26,same,/seɪm/,adj.,相同的,I bought the same car as yours. 我买了一辆车， 和你那辆一模一样。,Level 1,Day 2
27,economy,/ɪˈkɑːnəmi/,n.,经济,,Level 1,Day 2
28,land,/lænd/,n.,国土；陆地,"The land was very dry and hard after the long, summer. 经过漫长的炎夏这块土地又干又硬。",Level 1,Day 2
29,road,/roʊd/,n.,道路,They walked slowly along the road. 他们沿公路,Level 1,Day 2
30,middle,/ˈmɪdl/,adj.,中间的,a lake with an island in the middle 中央有一个小 岛的湖 | the middle class 中产阶级,Level 1,Day 2
31,without,/wɪˈðaʊt/,prep.,没有,Don't go without me. 别甩下我就走。,Level 1,Day 2
32,within,/wɪˈðɪn/,prep.,在……之内,He should arrive within the next half-hour. 该会在半小时内到达。,Level 1,Day 2
33,direction,/dəˈrekʃn/,n.,方向,It was a step in the right direction. 这是朝正确方 8<< 零基础词汇讲义Level 1 向迈出的一步。,Level 1,Day 2
34,again,/əˈɡen/,adv.,又一次,When will I see you again? 我何时能再见到你？,Level 1,Day 2
35,kid,/kɪd/,v.,取笑,Are you kidding me? 你在开玩笑吧？,Level 1,Day 2
36,benefit,/ˈbenɪfɪt/,n.,利益；救济金,It will benefit both sides. 这件事对双方都有好处。,Level 1,Day 2
37,space,/speɪs/,n.,空间；太空,She needed space to be herself. 她需要自己的独 立空间。,Level 1,Day 2
38,listen,/ˈlɪsn/,v.,听,listen to music 听音乐,Level 1,Day 2
39,important,/ɪmˈpɔːrtnt/,adj.,重要的,Listening is an important part of the job. 倾听是 他应 这项工作的一个重要部分。,Level 1,Day 2
40,beautiful,/ˈbjuːtɪfl/,adj.,美丽的,She was a very beautiful woman. 她是个非常美 丽的女人。,Level 1,Day 2
1,many,/ˈmeni/,,,There are too many mistakes in this essay. 这篇文,Level 1,Day 3
2,much,/mʌtʃ/,adv.,很,I enjoy reading very much. 我非常喜欢阅读。,Level 1,Day 3
3,sure,/ʃʊr/,adj.,确信的,I'm pretty sure I'll be going. 我相当肯定会去的。,Level 1,Day 3
4,both,/boʊθ/,,,Both women were French. 两名妇女都是法国人。 | Both his mother and his father will be there.他父,Level 1,Day 3
5,all,/ɔːl/,,,Cars were coming from all directions. 汽车从四,Level 1,Day 3
6,real,/ˈriːəl/,adj.,真实的,Tell me the real reason.告诉我真正的理由。 *补充：really adv. 真正地,Level 1,Day 3
7,true,/truː/,adj.,真实的,Maybe one day you'll find true love. 也许有一天 你会找到真爱。,Level 1,Day 3
8,long,/lɔːŋ/,adj./adv.,长的；长时间的,a long journey 一个长途旅行,Level 1,Day 3
9,short,/ʃɔːrt/,adj.,短的；不足的,a short walk 短距离步行 | I'm short of money this month. 这个月我手头有 点紧。 *补充：be short of sth 不足,Level 1,Day 3
10,open,/ˈoʊpən/,,,,Level 1,Day 3
11,close,/kloʊz/,v.,关闭,Jo is a very close friend. 乔是我们亲密的朋友。,Level 1,Day 3
12,near,/nɪr/,,,Do you live near here? 你住在这附近吗？,Level 1,Day 3
13,big,/bɪg/,adj.,大的,This shirt isn't big enough. 这件衬衣不够大。,Level 1,Day 3
14,large,/lɑːrdʒ/,adj.,大的,They have a large family. 他们家人很多。,Level 1,Day 3
15,huge,/hjuːdʒ/,adj.,巨大的,a huge crowd 庞大的人群,Level 1,Day 3
16,small,/smɔːl/,adj.,少的，小的,a small town 小镇,Level 1,Day 3
17,easy,/ˈiːzi/,adj.,容易的,This is not an easy task. 这不是项容易的任务。 *补充：easily adv. 容易地 10<< 零基础词汇讲义Level 1 | a deep sleep 深度睡眠,Level 1,Day 3
19,low,/loʊ/,adj.,低的，浅的,low prices 低价 | the lower classes of society 下层社会,Level 1,Day 3
20,fine,/faɪn/,adj.,好的,I’m fine. 我很好。 | a heavy fine 巨额罚款,Level 1,Day 3
21,poor,/pʊr/,adj.,贫穷的；可怜的,I feel sorry for that poor child. 我为那个可怜的 孩子感到难过。,Level 1,Day 3
22,difficult,/ˈdɪfɪkəlt/,adj.,困难的,It's difficult for them to get here. 对他们来说，到 这儿很困难。 *补充：It's difficult for sb to do sth. 对某人来说做某 事是困难的。,Level 1,Day 3
23,difficulty,/ˈdɪfɪkəlti/,n.,困难,The patient has difficulty in breathing. 病人呼吸 困难。 *补充：have difficulty in doing sth 做某事有困难,Level 1,Day 3
24,popular,/ˈpɑːpjələr/,adj.,流行的，受欢迎的,The exhibition is sure to be popular. 这一展览肯 定受欢迎。 *补充：popularity n. 流行,Level 1,Day 3
25,quickly,/ˈkwɪkli/,adv.,迅速地,She walked quickly. 她走得很快。,Level 1,Day 3
26,wrong,/rɔːŋ/,adj.,错误的,The jacket was the wrong size. 这件夹克尺码不对。,Level 1,Day 3
27,foot,/fʊt/,n.,脚；英尺,She was standing on one foot. 她单脚站立着。,Level 1,Day 3
28,even,/ˈiːvn/,adv.,甚至,Even a child can understand it. 就连小孩子也能 理解。 | You need an even surface to work on. 你需要有 个平面在上面工作。,Level 1,Day 3
29,animal,/ˈænɪml/,n.,动物,animal rights 动物权益,Level 1,Day 3
30,wife,/waɪf/,n.,妻子,He never complains about his wife. 他对他妻子 从不抱怨。,Level 1,Day 3
31,husband,/ˈhʌzbənd/,n.,丈夫,Her husband stood at her side. 她丈夫站在她身边。,Level 1,Day 3
32,sport,/spɔːrt/,,,Cycling is Europe's second most popular sport.,Level 1,Day 3
33,quite,/kwaɪt/,adv.,很,I'm quite happy to wait for you here. 我非常高兴 在此等候您。,Level 1,Day 3
34,think,/θɪŋk/,v.,想；认为 [过去式thought过去分词thought现在分词thinking],I think I should get back to work. 我想我应该重 新开始工作了。,Level 1,Day 3
35,change,/tʃeɪndʒ/,v.,改变 [过去式changed过去分词changed现在分词changing],We can't change our plans now. 我们现在不能改 变计划了。 | economic change 经济变革,Level 1,Day 3
36,move,,v.,移动 [过去式moved 过去分词moved 现在分词moving],Time is moving on. 时间在前进。,Level 1,Day 3
37,movement,/ˈmuːvmənt/,n.,运动；活动,They were watching her every movement. 他们注 视着她的每一个动作。 | the women’s movement 妇女运动,Level 1,Day 3
38,take,/teɪk/,v.,拿；引领 [过去式took 过去分词taken 现在分词taking],"Free newspapers, please take one. 报纸免费，请 骑 取一份。",Level 1,Day 3
39,give,/ɡɪv/,v.,给 [过去式gave 过去分词given 现在分词giving],"Give us the newspaper, will you? 把报纸给我好吗？ *补充：give sb. sth. = give sth. to sb. 给某人某物 12<< 零基础词汇讲义Level 1",Level 1,Day 3
40,bring,/brɪŋ/,v.,带来 [过去式brought 过去分词brought 现在分词bringing],Bring a present for Helen. 给海伦带件礼物来。,Level 1,Day 3
1,find,/faɪnd/,v.,发现；找到 [过去式found 过去分词found 现在分词finding],I have found a new gym. 我找到了一个新的健 身房。,Level 1,Day 4
2,know,/noʊ/,v.,知道；懂得 [过去式knew 过去分词known 现在分词knowing],They don't know their rights. 他们不知道自己的 权利。 | She is known as a great beauty. 她是个众所皆知 的大美人。 *补充：known as ... 以...而闻名,Level 1,Day 4
3,show,/ʃoʊ/,v.,展示 [过去式showed 过去分词shown 现在分词showing],She plans to show her paintings next year. 她计划 明年展出自己的绘画作品。 线｜教研团队,Level 1,Day 4
4,put,/pʊt/,v.,放,,Level 1,Day 4
5,set,/set/,v.,放；设置 [过去式set 过去分词set 现在分词setting ],We must set goals. 我们必须制订目标。 | a set of rules 一套规则 | system settings 系统设置,Level 1,Day 4
6,try,/traɪ/,v.,尝试 [过去式tried 过去分词tried 现在分词trying],Try the shoes on before you buy them. 鞋子要先 穿上试一试再买。 | We should try to save water. 我们应设法节约用水。 *补充：try to do sth. 设法做某事,Level 1,Day 4
7,make,/meɪk/,v.,制作；使得 [过去式made 过去分词made 现在分词making],,Level 1,Day 4
8,meet,/miːt/,v.,遇见；满足 [过去式met 过去分词met 现在分词meeting],Did you meet anyone in town? 你在城里碰见什 么人了吗？ | meet the needs 满足需求,Level 1,Day 4
9,build,/bɪld/,v.,建立 [过去式built 过去分词built 现在分词building],We're going to build a house. 我们打算建造一座 房子。 | We want to build a better life. 我们想创造更美 好的生活。,Level 1,Day 4
10,provide,/prəˈvaɪd/,v.,提供,They provided him with a car and driver. 他们为 他提供了一辆汽车和一位司机。,Level 1,Day 4
11,include,/ɪnˈkluːd/,v.,包含,My hobbies include reading and painting. 我的业 余爱好包括读书和绘画。 *补充：exclude v.排除,Level 1,Day 4
12,value,/ˈvæljuː/,n.,价值 什么新闻价值。 14<< 零基础词汇讲义Level 1,I value my privacy. 我重视自己的隐私。,Level 1,Day 4
13,laugh,/læf/,v.,笑,She always makes me laugh. 她总是让我发笑。,Level 1,Day 4
14,heart,/hɑːrt/,n.,心脏；要点,She has a kind heart. 她有一颗善良的心。 | the heart of the problem 问题的核心,Level 1,Day 4
15,bank,/bæŋk/,n.,银行；岸,a bank manager 银行经理 *补充：banker n.银行家,Level 1,Day 4
16,say,/seɪ/,v.,说 [过去式said 过去分词said 现在分词saying],I have something to say. 我有话要说。,Level 1,Day 4
17,tell,,v.,告诉 [过去式told 过去分词told 现在分词telling],Tell me the answer. 把答案告诉我吧。,Level 1,Day 4
18,call,/kɔːl/,v.,叫；打电话,Did somebody call my name? 有人叫我的名字吗？,Level 1,Day 4
19,ask,/æsk/,v.,问；要求,I asked his name. 我问了他的名字。 | We asked him to leave. 我们让他离开。,Level 1,Day 4
20,talk,/tɔːk/,v.,说话,,Level 1,Day 4
21,read,/riːd/,v.,阅读 [过去式read 过去分词read 现在分词reading],He opened the letter and read it. 他拆开信读起来。,Level 1,Day 4
22,speak,/spiːk/,v.,说话；演讲 [过去式spoke 过去分词spoken 现在分词speaking],He can speak three languages. 他会说三种语言。 | the English speech contest 英语演讲竞赛,Level 1,Day 4
24,state,/steɪt/,v.,陈述,You should state reasons for your recommendation. 你应当说明推荐的理由。 | We're worried about his mental state. 我们担心他 的精神状况。,Level 1,Day 4
25,statement,/ˈsteɪtmənt/,n.,声明；陈述,Which of the following statements is NOT 以下哪一项陈述是不正确的？,Level 1,Day 4
26,voice,/vɔɪs/,n.,声音；嗓音,I could hear voices in the next room. 我能听到隔 壁说话的声音。,Level 1,Day 4
27,sound,/saʊnd/,v.,听起来,Sound travels more slowly than light. 声比光传 播得慢。 | It sounds like a wonderful idea. 那听来像个好主意。,Level 1,Day 4
28,mention,/ˈmenʃn/,v.,提及,Don't mention the matter. 莫提此事。,Level 1,Day 4
29,discuss,/dɪˈskʌs/,v.,讨论,I'm willing to discuss the problem. 我乐意讨论这 个问题。 *补充：discussion n.讨论,Level 1,Day 4
30,comment,/ˈkɒment/,n.,评论,She made helpful comments on my work. 她对我 的工作提出了有益的意见。,Level 1,Day 4
31,express,,v.,表达,I want to express my true feelings. 我想表达我的 真实感受。 true? 32. explain /ɪkˈspleɪn/ | Let me explain why. 让我来解释为什么。,Level 1,Day 4
33,debate,/dɪˈbeɪt/,n.,辩论；讨论,His comments provided a focus for debate. 他的 评论提供了辩论的重点。,Level 1,Day 4
34,argue,/ˈɑːrɡjuː/,v.,争论，辩论；提出理由,,Level 1,Day 4
35,argument,/ˈɑːrɡjumənt/,n.,争论；观点,This argument has attracted a lot of attention. 个观点引起了很多关注。,Level 1,Day 4
36,conversation,/ˌkɑːnvərˈseɪʃn/,n.,交谈，会话,I had a long conversation with her. 我与她做了一 次长谈。 | ask a question 提问 16<< 零基础词汇讲义Level 1,Level 1,Day 4
38,answer,/ˈɑːnsər/,n.,答复；答案,answer a question 回答问题 这 39. introduce /ˌɪntrəˈdjuːs/ | You can introduce some famous singers to me. 你 可以给我介绍一些著名的歌手。,Level 1,Day 4
40,suggest,/səˈdʒest/,v.,建议；暗示,I suggest that we go out to eat. 我提议我们出去 吃吧。 | Are you suggesting that I'm lazy? 你言下之意是 说我懒？,Level 1,Day 4
1,wide,/waɪd/,adj.,宽的；广泛的,a wide river 宽阔的河,Level 1,Day 5
2,see,/siː/,v.,看见；理解 [过去式saw 过去分词seen 现在分词seeing],You can't see colours at night. 你在夜间看不见 颜色。 | I haven't seen him in years. 我有好些年没见过他了。,Level 1,Day 5
3,look,/lʊk/,v.,看起来；看,You look different than before. 你看上去与从前 不一样了。 | They look for chances. 他们寻找机会。,Level 1,Day 5
4,watch,/wɑːtʃ/,v.,观看；注视,watch a football game 线｜教研团队 观看足球比赛,Level 1,Day 5
5,visit,/ˈvɪzɪt/,v.,访问，参观,,Level 1,Day 5
6,view,/vjuː/,v.,浏览,"People came from all over the world to view her work. 人们从世界各地涌来欣赏她的作品。 | In my view, it was a waste of time. 依我看，这是 浪费时间。",Level 1,Day 5
7,review,/rɪˈvjuː/,v.,回顾,to review your failures 审视你的失败 | a book review 书评,Level 1,Day 5
8,interview,/ˈɪntərvjuː/,v.,采访；面试,a job interview 求职面试,Level 1,Day 5
9,notice,/ˈnəʊtɪs/,v.,注意,,Level 1,Day 5
10,note,/noʊt/,v.,注意,I noted that the rain had stopped. 我注意到雨已 经停了。,Level 1,Day 5
11,seek,/siːk/,v.,寻求 [过去式sought 过去分词sought 现在分词seeking],We seek to improve relations between our,Level 1,Day 5
12,search,/sɜːrtʃ/,v.,搜索,She searched her desk for the necessary information. 她在她的书桌里搜寻必要的资料。,Level 1,Day 5
13,research,/ˈriːsɜːrtʃ/,n.,研究；调查,I'm doing some research on the subject. 我正就这 一课题进行研究。,Level 1,Day 5
14,run,/rʌn/,v.,跑；经营 [过去式ran 过去分词run 现在分词running],I go for a run every morning. 我每天早晨都去跑步。 | They run a small store. 他们经营一家小商店。,Level 1,Day 5
15,stand,/stænd/,v.,站立；忍受,stand up 起立 18<< 零基础词汇讲义Level 1 | I couldn't stand that sound. 我无法忍受那种声音。 | a newspaper stand 报摊,Level 1,Day 5
16,sit,/sɪt/,v.,坐 [过去式sat 过去分词sat 现在分词sitting],She is sitting at her desk. 她坐在书桌前。,Level 1,Day 5
17,seat,/siːt/,v.,就座 two e.g. Please take a seat. 请坐。,,Level 1,Day 5
18,walk,/wɔːk/,v.,走,I walked a few steps toward the door.我向门口走 了几步。,Level 1,Day 5
19,drive,/draɪv/,v.,开车；驱动 [过去式drove,His daughter drove him to the train station. 他的 女儿开车送他去火车站。 | Economic system is driven by competition. 经济 体制是由竞争驱动的。 *补充：driver n.司机,Level 1,Day 5
20,step,/step/,v.,踏 [过去式stepped 过去分词stepped 现在分词stepping],I took a step toward him. 我朝他迈出了一步。,Level 1,Day 5
21,enter,/ˈentər/,v.,进入,He entered the room and stood near the door. 他 进入房间，靠近门站着。,Level 1,Day 5
22,dance,/dæns/,v.,跳舞,He's learning to dance. 他在学跳舞。,Level 1,Day 5
23,turn,/tɜːrn/,v.,转动；转身,Could you turn the TV up? 你能把电视机的音量 开大些吗？ | Tonight it's my turn to cook. 今晚轮到我做饭。 | Follow me please. I'll show you the way. 请跟我 走。我来给你带路。,Level 1,Day 5
25,stay,/steɪ/,v.,停留；保持,Can't you stay a few more days? 你不能多住几 天吗？ | The main thing is to stay calm. 最重要的是要保 持冷静。,Level 1,Day 5
26,leave,/liːv/,v.,离开；使...处于某种状态 [过去式left 过去分词left 现在分词leaving],They had to leave at midnight. 他们不得不半夜 离开。 | Leave me alone. 别打扰我。,Level 1,Day 5
27,seem,/siːm/,v.,似乎,,Level 1,Day 5
28,become,/bɪˈkʌm/,v.,成为；变得 [过去式became 过去分词become 现在分词becoming],She became queen in 1952. 她于1952 年成为女王。 | He has become rich. 他变富了。,Level 1,Day 5
29,remain,/rɪˈmeɪn/,v.,保持；仍然存在,The three men remained silent. 这3 个人保持沉默。 | The wider problem remains. 更广泛的问题依然 存在。,Level 1,Day 5
30,hotel,/hoʊˈtel/,n.,旅馆,We stayed at the Grand Hotel. 我们住在格兰酒店。,Level 1,Day 5
31,club,/klʌb/,n.,俱乐部，社团,She is a member of the club. 她是这个俱乐部的 会员。,Level 1,Day 5
32,ready,/ˈredi/,adj.,准备好的,He's always ready to help his friends. 他总是乐意 帮助朋友。,Level 1,Day 5
33,tax,/tæks/,n.,税,Does the price include tax? 这个价钱是否包括 税款？,Level 1,Day 5
34,television,/ˈtelɪvɪʒn/,n.,电视,I'll turn the television on. 我来打开电视机。,Level 1,Day 5
35,contact,/ˈkɑːntækt/,v.,联系,You can contact us by e-mail. 你可以通过电子,Level 1,Day 5
36,contract,/ˈkɑːntrækt/,n.,合同,He mailed me the contract. 他把合同寄给了我。 | a contracting market 萎缩的市场,Level 1,Day 5
37,address,/əˈdres/,n.,地址,What's your email address ? 你的电邮地址是什么？ 种做法并不能解决真正的问题。,Level 1,Day 5
38,financial,/faɪˈnænʃl/,adj.,金融的,The company is facing a financial crisis. 公司正 面临财政危机。,Level 1,Day 5
39,necessary,/ˈnesəseri/,adj.,必要的,Sometimes it is necessary to say no. 有时候说 “不”是必要的。,Level 1,Day 5
40,dream,/driːm/,n.,梦；梦想 这 v. 做梦；梦想,Her lifelong dream was to be a famous writer. 她 的毕生愿望就是成为名作家。,Level 1,Day 5
1,hand,/hænd/,n.,手，帮助,I'd be glad to lend a hand. 我乐意帮忙。,Level 1,Day 6
2,write,/raɪt/,v.,写 [过去式wrote 过去分词written 现在分词writing],I am writing to express my congratulations to 我写这封信是为了向你表达祝贺。,Level 1,Day 6
3,hold,/hoʊld/,v.,抓着；保持；举办 [过去式held 过去分词held 现在分词holding],They hold different views. 他们持有不同的观点。,Level 1,Day 6
4,opinion,/əˈpɪnjən/,n.,意见；主张,My opinion remains unchanged. 我的看法一如 既往。,Level 1,Day 6
5,reach,/riːtʃ/,v.,到达；达到；伸手 线｜教研团队,I can't reach the top shelf. 我够不着最上面的 架子。,Level 1,Day 6
6,receive,/rɪˈsiːv/,v.,收到,I didn't receive a letter from him. 我没有收到他 的信。,Level 1,Day 6
7,carry,/ˈkæri/,,,I never carry much money on me. 我身上从不多,Level 1,Day 6
8,describe,/dɪˈskraɪb/,v.,描述,Can you describe him to me? 你能向我描述一下 他的样子吗？,Level 1,Day 6
9,mark,/mɑːrk/,n.,标志；分数,He made marks with a pencil. 他用铅笔作了记号。,Level 1,Day 6
10,draw,/drɔː/,v.,画；拉；吸引；得出 [过去式drew 过去分词drawn 现在分词drawing],,Level 1,Day 6
11,sign,/saɪn/,n.,迹象；记号,I signed the agreement. 我签了这份协议。 | Her work is showing some signs of improvement. 她的工作出现了一些改进的迹象。 | Why do people paint pictures? 为什么人们要画画？,Level 1,Day 6
13,plant,/plænt/,n.,植物；工厂,He plans to plant fruit trees and vegetables. 划栽种果树和蔬菜。,Level 1,Day 6
14,press,/pres/,v.,压,He pressed a button and the door closed. 他按了 一个按钮，门关上了。,Level 1,Day 6
15,pressure,/ˈpreʃər/,n.,压力,Can you work under pressure? 你能在压力下工 作吗？,Level 1,Day 6
16,pull,/pʊl/,v.,拉 出来。 22<< 零基础词汇讲义Level 1,,Level 1,Day 6
17,push,/pʊʃ/,v.,推动,They pushed him into the car. 他们把他推进了 汽车。,Level 1,Day 6
18,catch,/kætʃ/,v.,赶上；抓住 [过去式caught 过去分词caught 现在分词catching],"If we leave now, I can catch the earlier flight. 我 们要是现在动身，我就可以赶上早一点的航班。",Level 1,Day 6
19,play,/pleɪ/,v.,玩耍；扮演,It's my favourite Shakespeare play. 这是我最喜 欢的莎士比亚剧。,Level 1,Day 6
20,fight,/faɪt/,v.,与……斗争 他计 n. 打架；斗争 [过去式fought 过去分词fought 现在分词fighting],She was always arguing with him and fighting with him. 她总是跟他争论和吵架。,Level 1,Day 6
21,touch,/tʌtʃ/,v.,触摸；触动,I didn't touch your car. 我没碰你那辆车。 | Let's keep in touch. 咱们保持联系。,Level 1,Day 6
22,throw,/θroʊ/,v.,投；抛 [过去式threw 过去分词thrown 现在分词throwing],I never throw anything away. 我从来不扔任何 东西。,Level 1,Day 6
23,place,/pleɪs/,n.,地方,The police searched the place. 警察搜查了那个 地方。,Level 1,Day 6
24,replace,/rɪˈpleɪs/,v.,取代，代替,Have they found anyone to replace her ? 他们找 到了代替她的人没有？,Level 1,Day 6
25,strike,/straɪk/,n.,袭击；罢工,They argued for the right to strike. 他们据理力争 罢工权利。,Level 1,Day 6
26,serve,/sɜːrv/,v.,招待，服务,The centre will serve the whole community. 中心将为整个社区提供服务。,Level 1,Day 6
27,order,/ˈɔːrdər/,n.,命令；订单,They can order their requirements on line. 他们可 以在网上定购所需物品。,Level 1,Day 6
28,offer,/ˈɔːfər/,v.,提供；出价,We offer free technical support. 我们免费提供技 术支持。,Level 1,Day 6
29,send,/send/,v.,发送；派遣,I will send you a message. 我会给你发一条短信。,Level 1,Day 6
30,pick,/pɪk/,v.,拾取；挑选,I asked him when he would be back to pick me up. 我问他什么时候回来接我。,Level 1,Day 6
31,goal,/ɡoʊl/,n.,目标,You need to set some goals. 你得制订一些目标。,Level 1,Day 6
32,oil,/ɔɪl/,n.,油；石油,The price of oil is going down. 油价正在下跌。,Level 1,Day 6
